stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
IN,5.5,1806532.3442461754,18.0,2013.0,263.05854501562675,284.37110582261215,245.9136427641779,262.70500872086114,255.13441021091114,263.8500760530275,264.8188470088593,-10.3492645351769,21.206361198245798,11.809896075011922,1.1026001380512767
KS,5.5,2007472.295052954,20.0,2013.0,262.30408396634704,274.36643564141417,247.48610768806563,262.2586899911075,253.74511091250488,262.5254194209671,263.9900614738452,-5.804875704180977,15.875141890224628,9.710906347384384,0.2998922679294961
KY,5.5,2102943.5224286206,21.0,2013.0,253.9279508669878,273.5964199206349,240.55927767549258,255.35636111012624,248.67755068723258,252.7989441984444,255.13015652677987,-10.977498600753968,18.011388019592776,11.778649059072327,-2.478050350601644
LA,5.5,2200927.743258498,22.0,2013.0,244.43271951894982,270.90735176184927,234.61216003716098,246.36292902044147,248.65120622200263,243.33253965701613,254.58264232323234,-11.157791055104894,18.009106375866747,9.425185615600395,-3.0366079511667916
MA,5.5,2507191.3449343513,25.0,2013.0,272.8996232219813,297.02611208596454,252.61673848828832,273.68662334024407,252.75199193297092,271.90784878602426,274.4401189861298,-18.032660980050085,19.870503386629924,17.5224087052735,-1.8250482068534903
MD,5.5,2400368.04,24.0,2013.0,260.96114535833334,284.9726817399267,245.15435646841084,262.56516884722225,253.93670214473684,259.36007855,268.618778125,-13.136204705604397,24.069721303742394,15.850200474756578,-3.2050901812523223
ME,5.5,2311208.502241877,23.0,2013.0,260.7796816641353,249.51909833333332,231.2147761111111,261.2807245301988,254.2428525,261.3678305004111,261.22811895386593,18.789339799999997,30.87122255555556,23.197028999999997,0.10844011089687304
MI,5.5,2619304.1184674283,26.0,2013.0,251.16090367147044,281.92875927934006,233.206567958013,251.36953763117762,243.03525146337736,251.67224457495126,254.04589613991791,-17.70018978743762,20.570868105272833,13.232897910794447,0.44343078818561205
MN,5.5,2718450.154570716,27.0,2013.0,266.6318112288614,275.43821879203807,245.91304195909606,267.15838323496376,249.9128249483907,267.86756799812116,270.10259425016335,2.751524755716165,30.159349544394587,25.206982920028974,0.7670078602685999
MO,5.0,2918767.888122636,29.0,2013.0,249.50357196718082,266.49912655714286,236.34931439758128,250.39306094161194,243.63566212659322,249.03785512105992,250.90129648050078,-8.048400544958993,19.535676343085985,10.682694278969924,-1.4242973713380647
MS,5.5,2802604.1706504705,28.0,2013.0,242.49011983149967,277.92140822222217,235.4475515110175,244.98862950125314,246.55569081837606,240.41381105557113,252.7956380866498,-16.516870294206345,16.158057469411787,10.991147430972221,-4.599653488423054
MT,5.5,3013096.560110697,30.0,2013.0,258.9233631111801,252.14928,249.78788999999998,258.5909885708499,248.84238319444444,259.02667445699257,262.96918184725246,5.122598250000001,15.036280216666668,16.81135652777778,0.3561124523976616
NC,5.5,3702454.286956522,37.0,2013.0,256.4664289565217,279.9873367276021,242.54334570765968,257.47516421453594,252.5916616257313,255.40107979657827,263.452047826115,-10.114870382917161,21.156677938880396,11.988137807780477,-2.09425942161869
