stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
GA,5.5,1302866.9294195804,13.0,2013.0,230.92921267847805,253.61648376919572,218.0699118447901,235.3391467832032,227.13310471658028,227.68637935075353,242.25410307862865,-3.0011074838476683,23.843649223203144,18.137623457322054,-7.5348098522647975
HI,5.5,1500030.0,15.0,2013.0,230.58750166666664,227.42260833333333,231.58455999999998,236.19571166666665,229.5944783333333,225.1961983333333,249.45232666666666,22.029719333333336,17.867767333333333,19.857846833333333,-10.999514166666666
IA,5.5,1916532.7219583623,19.0,2013.0,240.7774817828249,244.70895125602178,214.08298375595243,243.2680410699609,223.25693670182235,239.15801260235932,242.581239187951,4.398370340041569,30.646919402678574,19.899856384830404,-3.92744959819602
ID,5.5,1601682.5665066505,16.0,2013.0,233.81852781869893,245.83179994444447,213.29683333333332,237.67186352322605,216.9744353138119,232.4615005817126,239.78876411678428,-2.4182434278888887,29.161507916666665,23.35315359952835,-5.089331014692644
IL,5.5,1721600.9892104974,17.0,2013.0,237.86171646887672,259.8404244323822,219.12021904205764,243.4583747739375,226.86196909597803,234.09719872972832,241.82073020218763,-5.225821168776618,24.21637613801714,18.000454188424676,-9.252488296539838
IN,5.5,1806525.4084106202,18.0,2013.0,240.67107322656338,254.14981802624706,224.65710825885023,245.9704691744232,230.5690546504726,236.00620017598706,242.45803532737264,-1.7920822636708416,19.518643792403576,13.838459316159936,-9.984357854202434
KS,5.5,2007437.1607571365,20.0,2013.0,240.85739645793538,260.9693870634921,223.13854151190478,242.74657133707987,229.61064462688864,238.72848665899127,242.79394409281795,-2.1733169333333335,19.59894455849206,14.027594551410552,-4.001826082588144
KY,5.5,2102943.5224286206,21.0,2013.0,238.689612541853,248.37476469444445,221.86560151862682,242.08726105153437,230.44921561127637,235.63673715532823,240.22464959689356,-1.9153305422222224,21.548482344910713,15.65501453806471,-6.422268104160327
LA,5.5,2200927.743258498,22.0,2013.0,226.00762833074586,249.5145643659674,214.91038780991684,232.15590687923194,226.86955446767283,220.41347084227587,237.0677723989899,-7.4410326728850045,19.97221064897332,12.941834186299337,-11.74366267081004
MA,5.5,2507187.0275090877,25.0,2013.0,252.107171306514,267.48946788181894,231.65039440812654,259.07296540277326,229.0930595099459,245.07707811714258,253.98927885160185,-9.458009913750383,18.2347126473492,19.176829955154076,-13.946401265436682
MD,5.5,2400368.04,24.0,2013.0,240.61454309166666,261.0430868459596,223.56192888888884,246.75565970833335,233.07133636377708,234.9302941972222,249.65310520833336,-6.392868227972727,26.523761377536232,19.604664175373234,-11.825366009194445
ME,5.5,2311203.607892524,23.0,2013.0,241.04190923739347,231.3417466666667,208.45974750000002,247.696381829793,241.86203,235.12839557164398,241.49279586532091,23.286880516666667,29.46185047222222,22.669788399999998,-12.483836020404327
MI,5.5,2619286.3409905746,26.0,2013.0,233.6775200236,252.07092946771286,215.32092814989176,238.11216547598133,224.1787570946965,230.0578599011967,236.62871180625703,-7.00105102515656,19.782647814332012,13.717571273104511,-7.947234063947399
MN,5.5,2718389.8760554483,27.0,2013.0,241.0764276253847,243.08155312333008,221.91450650520846,245.12330857483815,223.7179498005075,238.48217465741928,244.71530623266463,10.632281635577128,30.385907950634163,26.705246974083064,-6.575846177131022
MO,5.5,2918721.4228105936,29.0,2013.0,238.10261868801345,252.6160413060054,223.41746500409423,243.27660748806147,230.34144249357487,233.41085859619196,239.85022016432262,-3.0167573540657897,22.19527636857012,13.54700873825324,-9.91335011677646
MS,5.5,2802605.0149606145,28.0,2013.0,221.41716376233884,255.6773910436508,213.75853581684916,227.04998495472879,221.88376990170937,216.41921850475782,233.0109979282313,-14.25073441126984,18.073632350512323,15.676490855833334,-10.761363626408345
MT,5.5,3012808.5772965527,30.0,2013.0,238.68659745796649,234.77762,227.13043666666667,242.67922142251732,226.58085416666665,234.75240644115806,243.53157093730897,2.3747940249999995,16.253355725,18.063316727777778,-8.216365234435019
NC,5.5,3702454.286956522,37.0,2013.0,234.3620682028985,247.43576708084046,218.7715577288575,237.5430940998956,224.4652516924715,231.18523911505994,243.56216537480236,0.3940610180505697,24.618320082135583,19.842783573407228,-6.390380136105104
ND,5.5,3808355.668695221,38.0,2013.0,236.78951201284033,237.3933952777778,222.45463466666664,240.39039541436026,224.54549208333333,233.3468243761421,241.32334132334492,5.794858657888888,20.076589012222225,17.533778583333334,-6.800886098284251
NE,5.5,3137789.334552061,31.0,2013.0,237.51045115048453,258.59048972222223,225.75914678571428,241.6787746348757,223.74032621541505,235.69024183976697,241.28374576739944,-6.159924780555556,23.2027846984127,18.085639323674272,-5.610864813143475
NH,5.5,3304105.4809523933,33.0,2013.0,248.86267024253095,244.49931472222224,226.5165258333333,254.10994042951506,225.44353694444445,242.449738865772,249.0487710726496,-0.9929056669444446,13.62766087,15.994147022222222,-11.704691617599925
NJ,5.5,3409513.222510217,34.0,2013.0,248.4508184815095,268.40189957030606,229.28720099516067,254.5331876892205,234.47184526895845,243.31038728115243,253.0463963468467,-12.246335843270977,17.202388116673635,13.963391491693509,-11.251093492335938
NM,5.5,3501361.799097643,35.0,2013.0,221.953601155519,250.7593506944444,221.50493952380953,227.01155513381596,219.5572045702951,216.91388482916113,236.34867476443674,-6.0946168088888895,18.229172669841272,15.432180112248806,-10.024446759452799
