stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
KS,5.5,2007437.1607571365,20.0,2013.0,240.85739645793538,254.654374499103,221.01115683124166,242.6815315626354,225.20859435822115,237.33117934730024,242.98721528821022,-4.666595551598312,21.578347112646497,17.367263797546666,-5.98049585412086
KY,5.5,2102943.5224286206,21.0,2013.0,238.689612541853,254.406649439027,221.0280014489915,241.96060312266084,224.60450912961014,235.34164807466195,240.28640621749818,-4.615679368505428,21.69018562478185,17.594636432926574,-6.544334631246575
LA,5.5,2200927.743258498,22.0,2013.0,226.00762833074586,253.5287602934117,215.29790362148165,232.17570618404685,224.86267266274615,220.5510594108331,237.36742411102065,-5.120702207192421,20.223925093479064,16.46841798681881,-11.621541269181376
MA,5.5,2507187.0275090877,25.0,2013.0,252.107171306514,256.75976536126643,222.32172682147987,258.45269057333365,225.43763104484762,244.81250015159037,253.91776855635635,-5.5593906267298285,21.250070172515446,18.155302499243216,-13.629384781776906
MD,5.5,2400368.04,24.0,2013.0,240.61454309166666,257.6784881181648,223.7463571897113,246.75565970833335,230.03027762969006,234.9302941972222,249.18700360885728,-5.541456594611649,26.17225874736543,19.17239091232187,-11.825366009194445
ME,5.5,2311203.607892524,23.0,2013.0,241.04190923739347,254.3510617085877,220.49854316348095,246.6554610305652,224.61090574153408,235.00760565917037,241.57049222411652,-4.43909076883734,21.912507518854962,17.91629383996131,-11.681817388085967
MI,5.5,2619286.3409905746,26.0,2013.0,233.6775200236,254.57461055111153,219.77801737733444,238.7710979061327,224.52978744679862,230.3946022830652,236.88447192917343,-4.82040898563288,21.329498572540892,17.236077471434864,-8.040144815215411
MN,5.5,2718389.8760554483,27.0,2013.0,241.0764276253847,253.39225509082135,220.85400984595677,244.41165264961532,224.28000375389874,237.42177233594182,244.63157204066474,-3.135168898966761,22.781338223840816,19.336375159161708,-7.129286921613964
MO,5.5,2918721.4228105936,29.0,2013.0,238.10261868801345,254.41506545047233,221.1763372824174,243.02980202727454,224.95171514019248,233.56984344506824,239.99266066559917,-4.6280308024117565,21.774321646166,17.45739334763358,-9.494546437549019
MS,5.5,2802605.0149606145,28.0,2013.0,221.41716376233884,254.63942274328323,214.96468760368285,227.3527078660753,223.98871331428572,216.9528018129303,236.16815824299735,-5.036713964498863,19.587954667373843,17.710700283185627,-10.644358879579498
MT,5.5,3012808.5772965527,30.0,2013.0,238.68659745796649,254.43302361074402,220.9278349275545,242.4490425238686,224.55479809662612,234.38248415553275,243.41323741306167,-4.651702778017137,21.60286030424938,17.915060518467445,-8.426042083333767
NC,5.5,3702454.286956522,37.0,2013.0,234.3620682028985,253.6679042611464,219.42524744460226,237.68037268144303,223.76816052291235,231.21302368875027,243.6337362056328,-4.00090896559658,23.894025346284707,19.351061971061537,-6.425677664973061
ND,5.5,3808355.668695221,38.0,2013.0,236.78951201284033,254.04223907902562,220.82248565908083,241.62186084514508,224.461047602941,233.78541346678705,241.46560246872514,-4.428235660386331,21.618920828787115,17.860018619483608,-8.04574428443982
NE,5.5,3137789.334552061,31.0,2013.0,237.51045115048453,254.53951384054275,220.94750669600987,242.0112101903783,224.24896368286707,234.5551577158467,241.58380098445915,-4.697557037900851,21.779006168083935,17.930078827609652,-7.2852805151281785
NH,5.5,3304105.4809523933,33.0,2013.0,248.86267024253095,254.24444505660253,220.9332283968478,251.88875279858553,224.60922715679615,240.81063912672002,249.02732032787478,-4.576489319935448,21.552355322595087,17.821429854909443,-10.945851001799092
NJ,5.5,3409513.222510217,34.0,2013.0,248.4508184815095,257.8779267752812,223.3633285483322,253.26182136161455,228.65391844519908,242.39099951743242,251.91644575424593,-6.513957730235955,20.730545759762766,16.555295435041987,-10.865996244663537
NM,5.5,3501361.799097643,35.0,2013.0,221.953601155519,254.4125431703163,220.82638503892642,231.11336920205375,220.33270173332778,220.89500211583348,239.10074980918304,-4.787254412148948,21.380794521874865,16.72917921508137,-9.630978411296097
NV,5.5,3200282.3333333335,32.0,2013.0,229.41908966666665,253.14358985374528,220.3080081895611,235.20043342991266,222.23094664779694,225.8702271322635,236.115515094339,-3.8109306045605513,22.6488740409753,17.161952687128807,-9.499228646743564
NY,5.5,3616606.9210814,36.0,2013.0,241.14460431462044,255.76855056531156,221.5601636372202,246.1149245639414,225.9532854760754,236.73542313069314,243.36619253044123,-5.229628994979829,21.347907017695007,17.545247784962,-9.266115204626876
OH,5.5,3904989.511087473,39.0,2013.0,242.13691787691948,254.71882358078867,221.08280495671158,246.211384000017,224.5666464347121,238.1920922215213,243.91276460454426,-4.701978671137893,21.548411533322035,17.66861003668249,-7.953320307259898
OK,5.5,4017680.9953300287,40.0,2013.0,232.34865355996092,254.0582705813781,220.3798969428265,238.76333496237154,223.64892433300156,231.47150745067222,238.53763028113653,-4.513466062719331,21.634652409663957,17.739094989741332,-7.334277614711862
OR,5.5,4106797.6187567837,41.0,2013.0,232.54151757728542,253.43706553532692,220.51794613602772,236.84038175982198,221.49922541929126,230.81442563787482,237.40604805530074,-3.8325210010703317,21.991485938956007,19.834594009297728,-6.278986432669991
PA,5.5,4214619.220295032,42.0,2013.0,244.2004072492285,255.78470688335315,222.17640092152692,249.5315462666389,225.23292440411763,239.19852225646812,246.45012115948794,-5.136688263493631,21.221403364332755,17.99671867754181,-10.42764822973929
RI,5.5,4400609.403594771,44.0,2013.0,244.33579996137846,253.0036274478117,221.69534201348117,250.4532583392539,224.69108734578015,237.23296302131595,246.86417823927377,-4.28420917174901,19.551754010150713,16.552649725894668,-12.838050477845647
SC,5.5,4502355.194852559,45.0,2013.0,224.65845267671435,254.53059454834818,211.7042669178792,229.22204217643323,222.7529151141579,220.51740252768172,238.61494505672428,-4.775613096886584,25.65877847521794,19.34173015934556,-8.599876412899851
SD,5.5,4637807.05993452,46.0,2013.0,234.77767820709187,254.2889728804712,220.7214384768769,240.07060538360665,224.3620588481226,232.92923732965303,240.6775707215174,-4.490789385977414,21.831642997654402,17.953972316986864,-7.396768208744681
TN,5.5,4702328.586113828,47.0,2013.0,235.29720177869763,254.44976402743876,221.5502676596852,240.0875468503203,224.49578415808688,230.72287970740706,238.38426328936904,-4.824128131250325,21.087609167126057,17.60848839758724,-9.340362843066021
TX,5.5,4826527.104288015,48.0,2013.0,231.30393007838674,254.46543427050736,220.64171502921317,235.62365219271888,223.29161850926357,229.62824662536164,241.23608356672662,-4.674487517784354,21.726192107233413,17.404328682590993,-6.218218116588749
UT,5.5,4900607.110683761,49.0,2013.0,239.93639835470086,248.37283277898598,220.02617253744538,243.87059416833844,221.51555671816678,235.99945615216166,245.1514691438476,0.18590478520691867,22.71825646390549,22.646292093798746,-8.474839379506067
VA,5.5,5102117.432762742,51.0,2013.0,237.9657325974439,254.27618350342686,222.5949975753654,241.67286672549594,226.90289313764546,234.63564187611243,245.29443771999453,-3.901406466319775,22.881129176136053,17.970460707236573,-7.085033661718174
VT,5.5,5006379.394625228,50.0,2013.0,244.58768313185314,254.57069444662918,220.76523265215656,248.82473864775247,224.5044014185827,237.39551645942586,245.1766141317842,-4.7006662425698655,21.874017267401964,17.88650619820714,-10.853757104441078
WA,5.5,5305088.477793802,53.0,2013.0,237.1198884176175,253.84632204807156,221.69555554152626,243.54238025856606,225.23536018895757,232.90605109223407,243.7018702529413,-4.082664670535773,21.66982286705832,18.51637082769182,-10.065526114664033
WI,5.5,5508408.917285043,55.0,2013.0,240.48626772226933,253.15857771908145,220.67793060811334,243.77516318022927,224.02785418236263,237.14369244349487,242.8506054314718,-3.522630473476607,22.14382476122884,18.434987590782654,-6.669642212426964
WV,5.5,5400838.094907408,54.0,2013.0,227.07868679453267,254.78666917177603,220.83241655330121,235.2949677118863,224.63330338321637,219.53062921415946,227.33905602443085,-5.430035381410023,19.40437192962111,17.564860883289803,-15.663966289929794
WY,5.5,5603535.623648026,56.0,2013.0,241.8583211550849,254.331766951021,220.9843412173948,245.475193278974,225.8442609456423,237.88181990911028,245.72549890457626,-4.704154648581217,21.64742104138551,17.150771302086714,-7.732869950355809
