,grade,stateabb,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
0,3,AK,200336.17857142858,2.0,2013.0,215.38792892857137,265.8801569533642,237.14445784833183,232.71137554710137,240.71188258371632,233.3636310837227,251.43629811232452,-6.8345192953491605,20.232489499174896,13.391621091374105,-0.8037640312688451
1,3,AL,101699.48507462686,1.0,2013.0,223.41447082089556,273.58780301991743,220.57414659919985,224.91065832420315,237.69987107961475,222.2250731407613,233.02149924533072,-11.372331466817833,16.95445902278951,12.47298076589569,-2.685255596296551
2,3,AR,506836.9356223176,5.0,2013.0,229.93795957081548,274.9174669585546,232.86803264721507,236.73260362203771,241.841331840112,233.9604705919691,236.2804608741919,-10.932945050731387,20.187370410257497,13.458184353434097,-0.8831112553586375
3,3,AZ,404938.46896551724,4.0,2013.0,225.43238924137924,270.08167841496714,232.85158981295416,231.33669290094934,229.38394225951492,229.97990211889947,245.432489251278,-9.94855041635792,19.5101912460409,13.038693776651057,-0.33601609729693327
4,3,CA,621571.1840228245,6.0,2013.0,221.0243730813126,261.5580902094073,231.60239451830802,225.31224369203753,220.7892001954343,226.19584212405388,235.78115471423868,-10.32926902157934,19.776685361514296,13.71253805816773,1.1249573315851187
5,3,CO,804491.6967213114,8.0,2013.0,235.66191155737712,270.9920802096205,236.48647890119486,239.34998957257258,234.3445689197872,240.75804324475914,243.42929180822549,-9.427962138616092,20.113357793764315,14.16743580402654,0.9971699214809902
6,3,CT,902707.4342105263,9.0,2013.0,236.56198809210525,270.4103095846675,234.11388419797478,238.3377410576453,237.54929732945703,238.27003966197503,239.95150171943388,-10.523549961677062,20.065930748066382,13.944834983329901,0.22285957043682228
7,3,DC,1100030.0,11.0,2013.0,218.8,253.05983999999998,210.96392999999998,219.72191,221.04321000000002,217.81662000000003,259.95092999999997,6.8910827999999995,48.986999999999995,38.907715,-1.9052886999999998
8,3,DE,1000796.6666666666,10.0,2013.0,233.41726400000002,265.8913133398486,223.70057600000004,231.3359806666667,229.10353913722915,235.46472266666663,240.95185200000006,-10.75942548326953,17.2512758,13.522524463068043,4.128740438666666
9,3,FL,1201062.5857142857,12.0,2013.0,230.96370314285718,265.7657811655555,225.46191534880165,231.1024297269496,234.61961053766078,231.26829844088607,240.43089717618147,-11.300930982155384,17.393381655312435,10.259380295779986,0.4141032128560661
