,grade,stateabb,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
27,3,NC,3702454.2869565217,37.0,2013.0,207.81680191304326,223.16175384615383,193.12589988636364,210.9027143362831,195.2364277011494,204.65665938596484,216.8714202702703,-0.8304056723076928,23.716302668604655,22.727876886206904,-6.258731122212389
28,3,ND,3808432.1333333333,38.0,2013.0,210.5035688,210.55073666666667,198.070458,212.43505296296297,202.61210749999998,206.76075586206895,214.63952548387093,5.834116333333334,17.48487546,15.935489600000004,-5.144461211818181
29,3,NE,3137167.7434210526,31.0,2013.0,209.2439865789475,233.240825,194.96159285714288,213.63616038461538,194.60539454545457,206.23840135802467,213.41381977272724,-9.969940150000001,23.35421542857143,17.519237845454544,-5.693074995188404
30,3,NH,3304073.304347826,33.0,2013.0,222.1562149565218,214.73307,206.214505,226.21059848837206,204.9598775,217.81799797752805,222.3073045535714,1.0113169333333343,9.558616449999999,12.480846324999998,-7.873915486375002
31,3,NJ,3409457.984978541,34.0,2013.0,217.9434537553649,239.17505655172414,201.32490044247794,224.57638334939753,204.78710961111105,211.99243723716376,222.1218792924528,-12.760493092105266,15.448957447187503,13.583200302903228,-12.405863609277358
32,3,NM,3501362.96875,35.0,2013.0,191.22059750000005,219.31871,194.405095,197.20188183673474,189.31351716981132,187.17659196078432,208.0274245714286,-5.447632000000001,15.079877216666667,18.145577906249997,-9.340046739130434
33,3,NV,3200274.0,32.0,2013.0,199.53372866666666,214.90384,188.04528,201.49293076923075,190.54043599999994,193.36440076923074,204.59496384615383,1.66788485,28.5264435,18.087600600000002,-8.12852946923077
34,3,NY,3616494.890879479,36.0,2013.0,213.3265719543975,235.38526370967736,196.96016525773206,218.8102449718574,204.41943726618712,209.27826841603044,215.5873094387754,-7.388344830883335,19.895996114819276,17.139029638399997,-9.486401339936513
35,3,OH,3904989.943801653,39.0,2013.0,214.61371510743825,227.48050458333333,192.59690847826087,218.46739809440567,195.52442792452825,211.27200146086943,216.64334839732905,0.42543093291666806,23.86306832045455,18.788889754716976,-7.08021745498203
36,3,OK,4017634.810055866,40.0,2013.0,205.18437405027936,215.85525285714286,192.70673080000003,209.05308055045873,195.40027999999995,202.73738230769234,210.05025823770492,-1.1622554242857142,19.984819400000003,16.46863588934783,-6.738363454010206
37,3,OR,4106766.375886525,41.0,2013.0,201.11993177304964,204.198306,186.22417124999998,203.26559114035086,183.59255920634916,198.56957223214292,206.36500075757567,5.430093387,26.5110662875,25.065416418709688,-4.538353195971428
38,3,PA,4214602.056338028,42.0,2013.0,216.27753879275653,236.16576571428573,198.0350564583333,220.4897131600831,200.71747461538456,212.61961849372383,218.70676053061229,-5.717867183877551,18.77243697337079,19.28496561048051,-8.079171522074152
39,3,RI,4400612.5,44.0,2013.0,217.31074470588234,213.52576749999997,193.99832125,223.3260221212121,196.5522616666667,211.1907896969697,220.2260214705882,0.9372101249999992,17.375347143750002,16.630446133333333,-12.135232622121212
40,3,SC,4502365.308641976,45.0,2013.0,193.6992713580248,221.12641923076924,179.85942256410254,198.64337765432097,187.32243710526313,189.46558012500003,208.60594453333337,3.1124080461538477,28.824903676388892,28.32554349473685,-9.343770767662503
41,3,SD,4638218.074468086,46.0,2013.0,204.7896055319149,174.80363,181.59485,207.35800441860462,182.72946333333334,201.56656095238097,211.1675254666667,30.834152000000003,30.703246999999998,24.069534333333333,-5.648170017105263
42,3,TN,4702306.649253732,47.0,2013.0,206.61000343283592,228.72772866666668,193.5781712727273,210.97656765151515,193.64692702702706,202.47070340909102,209.856615,-5.282383281333334,20.371272105272727,21.522362062162156,-8.308902883435122
43,3,TX,4826491.741545894,48.0,2013.0,201.72802664251188,222.20782168831178,189.9821888020833,204.73700383333318,193.23754848076905,199.09581356600904,212.33165823338723,-2.430236200519481,23.02065040382514,17.67192364895419,-5.526839512151123
44,3,UT,4900603.641025641,49.0,2013.0,210.58746820512823,203.8378283333333,188.94138625,215.5201905263158,190.91986880000002,206.99095166666672,215.50985631578945,12.695255316666666,25.630840375,23.927367544000006,-8.555464438888887
45,3,VA,5102122.687022901,51.0,2013.0,213.6363005343512,229.6245795454546,199.9208443678162,216.8811587596899,206.27872041666672,210.48430415384618,220.9308341732283,-2.129479108181818,23.291967001204817,19.138293041666667,-6.370122570492189
46,3,VT,5006439.888888889,50.0,2013.0,217.36555949494945,,188.46011000000001,219.67561081081084,,211.3004372727272,217.2420736170214,,27.098328000000002,,-9.508836615000002
47,3,WA,5305060.068627451,53.0,2013.0,208.00917063725475,217.63839166666665,197.9322220689655,212.7714949079755,195.14064724137927,204.30029636363633,215.50121072289167,3.266900893809524,22.394671737931034,22.425124829411757,-8.342766885896102
48,3,WI,5508402.061333333,55.0,2013.0,211.81166706666684,206.3575296774193,191.465552,216.22582182130583,192.40673088888892,208.2251155852843,214.55877326923073,11.639864555741939,26.882299899666673,23.018562515555555,-7.857976065176558
49,3,WV,5400840.0,54.0,2013.0,201.01785109090915,234.197675,192.98890363636366,207.60426851851858,196.71402,194.99134763636363,201.27075072727274,-28.776062,11.77289510909091,11.51747125,-12.716405794444443
50,3,WY,5603592.595238095,56.0,2013.0,213.46847142857138,217.78952,195.52763000000002,216.730072368421,197.0226327272727,210.15334289473688,218.329407027027,-2.2918091,19.970078,18.23321677272727,-6.57672922473684
51,4,AK,200358.09677419355,2.0,2013.0,201.07424516129035,204.814866,207.84190666666666,200.73505,216.364368,198.0405184210526,224.35265,19.41665036,16.508351633333337,7.476830960000001,-4.190336354117647
52,4,AL,101699.48507462686,1.0,2013.0,215.3354968656717,243.0809811111111,200.8066346,219.5351528571428,204.14589815789478,210.86737330827086,228.01117112068974,3.6037478555555555,26.465227830487798,28.00321471351351,-8.567429768522734
53,4,AR,506845.5431034483,5.0,2013.0,215.88763181034466,248.99564833333332,202.94003508474577,225.1356732967032,211.93185709677417,207.48176507772024,220.46336657407403,-13.857282066666665,22.46838915,15.24484697419355,-16.793863941893495
54,4,AZ,404966.77142857143,4.0,2013.0,205.83097271428568,228.28504074074078,199.51271023809528,211.5903989999999,202.21817437499996,202.45508735537186,219.85808826086952,-1.2074539333333334,21.457746174975,16.899490356410258,-9.197010142820512
55,4,CA,621392.0069252078,6.0,2013.0,210.33832204986143,231.58080705673763,201.6280023563218,215.09712832247575,199.97965221402202,207.68738822764226,222.6361795802917,-5.149612761735849,21.12302804785276,20.796692291044096,-7.365933383531878
56,4,CO,804449.3865546219,8.0,2013.0,223.41697554621848,234.1173642105263,213.08175470588236,227.4834549450549,212.00198768115942,218.7643228571428,230.54582270000006,1.134205865789474,21.55175422941177,18.749858845000006,-9.04767814643678
57,4,CT,902736.1333333333,9.0,2013.0,233.88156213333335,246.0058534285714,209.85821709677418,235.93079411347534,214.33410108695654,232.35983598591548,237.6635206802721,-7.290114882857145,24.07639366333333,20.21058648913043,-3.3088220735071423
58,4,DC,1100030.0,11.0,2013.0,204.8,,196.73099,209.94562000000002,204.42105,199.76782,258.82248,,62.091492,54.401428,-10.177795
