stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
KY,5.5,2102943.5224286206,21.0,2013.0,253.9279508669878,275.5921619921841,239.18898324377042,255.29180497371567,244.49945297349373,252.78954778944376,255.21613266722412,-11.04620338381707,19.741317481787572,13.539372569871771,-2.34444720384834
LA,5.5,2200927.743258498,22.0,2013.0,244.43271951894982,274.79398103722355,234.88848487199138,246.41579126921135,245.61575009972708,243.47570994065214,254.87829107789636,-11.04306671965167,18.29683230201148,12.4418863878674,-2.939733896229969
MA,5.5,2507191.3449343513,25.0,2013.0,272.8996232219813,279.46549247452407,240.84235480519555,273.0630217001636,246.161387946698,271.41072568151486,274.38120353790464,-12.31454417526782,20.073688156888725,14.665378502879449,-1.7437711007244978
MD,5.5,2400368.04,24.0,2013.0,260.96114535833334,280.8081379533312,245.22116538360288,262.56516884722225,250.84131043847307,259.36007855,268.1115651293048,-12.187420668430661,23.753367073525723,15.336360254790874,-3.2050901812523223
ME,5.5,2311208.502241877,23.0,2013.0,260.7796816641353,275.47587817706403,238.64052575643055,260.3299856645538,244.46157487144202,260.6012337737065,261.2797881731637,-10.769072853945294,20.402788446611925,13.917502751374256,-0.013831993666445164
MI,5.5,2619304.1184674283,26.0,2013.0,251.16090367147044,276.0067911124734,237.75070109091072,252.08634542507374,244.14377352983936,252.0335800244486,254.3239124945412,-11.470031115770993,20.198519260367327,13.754132166862457,0.3158392009604775
MN,5.5,2718450.154570716,27.0,2013.0,266.6318112288614,275.6632493557449,239.7123405336954,264.5921951892813,245.21936482369642,265.5007624018821,269.7289342117776,-9.594245110111503,21.367210794887153,15.718928812037248,0.434391599386367
MO,5.0,2918767.888122636,29.0,2013.0,249.50357196718082,275.21311425289394,238.52127344040008,252.16306651493042,244.25686101796023,251.04023526319253,251.31126212232743,-10.905423246659243,20.024058569565323,13.507557855875945,-1.1141544678275757
MS,5.5,2802604.1706504705,28.0,2013.0,242.49011983149967,275.84481023224896,236.16548088031345,245.22403204821276,244.3299997703862,240.82232878421726,255.15877655549204,-11.242436527528753,17.805991584251462,13.60899241969741,-4.374507932436682
MT,5.5,3013096.560110697,30.0,2013.0,258.9233631111801,275.53156237196725,239.08469114382675,257.61518828895055,244.5299023584796,257.715088560739,262.61168002617904,-10.914127378301414,20.002036640550852,13.947532801262282,-0.08020130683620251
